Rank,Title,Studio,Worldwide,Domestic,Domestic.Perc,Overseas,Overseas.Perc,Year
1,Avatar,Fox,2788,760.5,27.3,2027.5,72.7,2009
2,Titanic,Par.,2187.5,659.4,30.1,1528.1,69.9,1997
3,Star Wars: The Force Awakens,BV,2068.2,936.7,45.3,1131.6,54.7,2015
4,Avengers: Infinity War,BV,2046.7,678.8,33.2,1367.9,66.8,2018
5,Jurassic World,Uni.,1671.7,652.3,39,1019.4,61,2015
6,Marvel's The Avengers,BV,1518.8,623.4,41,895.5,59,2012
7,Furious 7,Uni.,1516,353,23.3,1163,76.7,2015
8,Avengers: Age of Ultron,BV,1405.4,459,32.7,946.4,67.3,2015
9,Black Panther,BV,1346.9,700.1,52,646.9,48,2018
10,Harry Potter and the Deathly Hallows Part 2,WB,1341.5,381,28.4,960.5,71.6,2011
11,Star Wars: The Last Jedi,BV,1332.5,620.2,46.5,712.4,53.5,2017
12,Jurassic World: Fallen Kingdom,Uni.,1304.9,416.8,31.9,888.2,68.1,2018
13,Frozen,BV,1276.5,400.7,31.4,875.7,68.6,2013
14,Beauty and the Beast (2017),BV,1263.5,504,39.9,759.5,60.1,2017
15,Incredibles 2,BV,1238.4,608.2,49.1,630.3,50.9,2018
16,The Fate of the Furious,Uni.,1236,226,18.3,1010,81.7,2017
17,Iron Man 3,BV,1214.8,409,33.7,805.8,66.3,2013
18,Minions,Uni.,1159.4,336,29,823.4,71,2015
19,Captain America: Civil War,BV,1153.3,408.1,35.4,745.2,64.6,2016
20,Transformers: Dark of the Moon,P/DW,1123.8,352.4,31.4,771.4,68.6,2011
21,The Lord of the Rings: The Return of the King,NL,1119.9,377.8,33.7,742.1,66.3,2003
22,Skyfall,Sony,1108.6,304.4,27.5,804.2,72.5,2012
23,Transformers: Age of Extinction,Par.,1104.1,245.4,22.2,858.6,77.8,2014
24,The Dark Knight Rises,WB,1084.9,448.1,41.3,636.8,58.7,2012
25,Toy Story 3,BV,1067,415,38.9,652,61.1,2010
26,Pirates of the Caribbean: Dead Man's Chest,BV,1066.2,423.3,39.7,642.9,60.3,2006
27,Rogue One: A Star Wars Story,BV,1056.1,532.2,50.4,523.9,49.6,2016
28,Pirates of the Caribbean: On Stranger Tides,BV,1045.7,241.1,23.1,804.6,76.9,2011
29,Despicable Me 3,Uni.,1034.8,264.6,25.6,770.2,74.4,2017
30,Jurassic Park,Uni.,1029.2,402.5,39.1,626.7,60.9,1993
31,Finding Dory,BV,1028.6,486.3,47.3,542.3,52.7,2016
32,Star Wars: Episode I - The Phantom Menace,Fox,1027,474.5,46.2,552.5,53.8,1999
33,Alice in Wonderland (2010),BV,1025.5,334.2,32.6,691.3,67.4,2010
34,Zootopia,BV,1023.8,341.3,33.3,682.5,66.7,2016
35,The Hobbit: An Unexpected Journey,WB (NL),1021.1,303,29.7,718.1,70.3,2012
36,The Dark Knight,WB,1004.6,534.9,53.2,469.7,46.8,2008
37,Harry Potter and the Sorcerer's Stone,WB,974.8,317.6,32.6,657.2,67.4,2001
38,Despicable Me 2,Uni.,970.8,368.1,37.9,602.7,62.1,2013
39,The Lion King,BV,968.5,422.8,43.7,545.7,56.3,1994
40,The Jungle Book (2016),BV,966.6,364,37.7,602.5,62.3,2016
41,Pirates of the Caribbean: At World's End,BV,963.4,309.4,32.1,654,67.9,2007
42,Jumanji: Welcome to the Jungle,Sony,962.1,404.5,42,557.6,58,2017
43,Harry Potter and the Deathly Hallows Part 1,WB,960.3,296,30.8,664.3,69.2,2010
44,The Hobbit: The Desolation of Smaug,WB (NL),958.4,258.4,27,700,73,2013
45,The Hobbit: The Battle of the Five Armies,WB (NL),956,255.1,26.7,700.9,73.3,2014
46,Finding Nemo,BV,940.3,380.8,40.5,559.5,59.5,2003
47,Harry Potter and the Order of the Phoenix,WB,939.9,292,31.1,647.9,68.9,2007
48,Harry Potter and the Half-Blood Prince,WB,934.4,302,32.3,632.5,67.7,2009
49,The Lord of the Rings: The Two Towers,NL,926,342.6,37,583.5,63,2002
50,Shrek 2,DW,919.8,441.2,48,478.6,52,2004
51,Harry Potter and the Goblet of Fire,WB,896.9,290,32.3,606.9,67.7,2005
52,Spider-Man 3,Sony,890.9,336.5,37.8,554.3,62.2,2007
53,Ice Age: Dawn of the Dinosaurs,Fox,886.7,196.6,22.2,690.1,77.8,2009
54,Spectre,Sony,880.7,200.1,22.7,680.6,77.3,2015
55,Spider-Man: Homecoming,Sony,880.2,334.2,38,546,62,2017
56,Harry Potter and the Chamber of Secrets,WB,879,262,29.8,617,70.2,2002
57,Ice Age: Continental Drift,Fox,877.2,161.3,18.4,715.9,81.6,2012
58,The Secret Life of Pets,Uni.,875.5,368.4,42.1,507.1,57.9,2016
59,Batman v Superman: Dawn of Justice,WB,873.6,330.4,37.8,543.3,62.2,2016
60,The Lord of the Rings: The Fellowship of the Ring,NL,871.5,315.5,36.2,556,63.8,2001
61,Wolf Warrior 2,HC,870.3,2.7,0.3,867.6,99.7,2017
62,The Hunger Games: Catching Fire,LGF,865,424.7,49.1,440.3,50.9,2013
63,Guardians of the Galaxy Vol. 2,BV,863.8,389.8,45.1,473.9,54.9,2017
64,Inside Out,BV,857.6,356.5,41.6,501.1,58.4,2015
65,Thor: Ragnarok,BV,854,315.1,36.9,538.9,63.1,2017
66,Star Wars: Episode III - Revenge of the Sith,Fox,848.8,380.3,44.8,468.5,55.2,2005
67,Transformers: Revenge of the Fallen,P/DW,836.3,402.1,48.1,434.2,51.9,2009
68,The Twilight Saga: Breaking Dawn Part 2,LG/S,829.7,292.3,35.2,537.4,64.8,2012
69,Inception,WB,828.3,292.6,35.3,535.7,64.7,2010
70,Wonder Woman,WB,821.8,412.6,50.2,409.3,49.8,2017
71,Spider-Man,Sony,821.7,403.7,49.1,418,50.9,2002
72,Independence Day,Fox,817.4,306.2,37.5,511.2,62.5,1996
73,Fantastic Beasts and Where To Find Them,WB,814,234,28.8,580,71.2,2016
74,Coco,BV,807.1,209.7,26,597.4,74,2017
75,Shrek the Third,P/DW,799,322.7,40.4,476.2,59.6,2007
76,Harry Potter and the Prisoner of Azkaban,WB,796.7,249.5,31.3,547.1,68.7,2004
77,Pirates of the Caribbean: Dead Men Tell No Tales,BV,794.9,172.6,21.7,622.3,78.3,2017
78,E.T.: The Extra-Terrestrial,Uni.,792.9,435.1,54.9,357.8,45.1,1982
79,Mission: Impossible - Fallout,Par.,791,220.2,27.8,570.9,72.2,2018
80,Fast & Furious 6,Uni.,788.7,238.7,30.3,550,69.7,2013
81,Indiana Jones and the Kingdom of the Crystal Skull,Par.,786.6,317.1,40.3,469.5,59.7,2008
82,Spider-Man 2,Sony,783.8,373.6,47.7,410.2,52.3,2004
83,Deadpool,Fox,783.1,363.1,46.4,420,53.6,2016
84,Star Wars,Fox,775.4,461,59.5,314.4,40.5,1977
85,Guardians of the Galaxy,BV,773.3,333.2,43.1,440.2,56.9,2014
86,2012,Sony,769.7,166.1,21.6,603.6,78.4,2009
87,Maleficent,BV,758.5,241.4,31.8,517.1,68.2,2014
88,The Da Vinci Code,Sony,758.2,217.5,28.7,540.7,71.3,2006
89,The Amazing Spider-Man,Sony,757.9,262,34.6,495.9,65.4,2012
90,The Hunger Games: Mockingjay - Part 1,LGF,755.4,337.1,44.6,418.2,55.4,2014
91,Shrek Forever After,P/DW,752.6,238.7,31.7,513.9,68.3,2010
92,X-Men: Days of Future Past,Fox,747.9,233.9,31.3,513.9,68.7,2014
93,Madagascar 3: Europe's Most Wanted,P/DW,746.9,216.4,29,530.5,71,2012
94,Suicide Squad,WB,746.8,325.1,43.5,421.7,56.5,2016
95,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,745,291.7,39.2,453.3,60.8,2005
96,Monsters University,BV,744.2,268.5,36.1,475.7,63.9,2013
97,The Matrix Reloaded,WB,742.1,281.6,37.9,460.6,62.1,2003
98,Up,BV,735.1,293,39.9,442.1,60.1,2009
99,Deadpool 2,Fox,734.2,318.5,43.4,415.8,56.6,2018
100,Gravity,WB,723.2,274.1,37.9,449.1,62.1,2013
101,Captain America: The Winter Soldier,BV,714.3,259.8,36.4,454.5,63.6,2014
102,The Twilight Saga: Breaking Dawn Part 1,Sum.,712.2,281.3,39.5,430.9,60.5,2011
103,Dawn of the Planet of the Apes,Fox,710.6,208.5,29.3,502.1,70.7,2014
104,The Twilight Saga: New Moon,Sum.,709.7,296.6,41.8,413.1,58.2,2009
105,Transformers,P/DW,709.7,319.2,45,390.5,55,2007
106,The Amazing Spider-Man 2,Sony,709,202.9,28.6,506.1,71.4,2014
107,It,WB (NL),700.4,327.5,46.8,372.9,53.2,2017
108,The Twilight Saga: Eclipse,Sum.,698.5,300.5,43,398,57,2010
109,Mission: Impossible - Ghost Protocol,Par.,694.7,209.4,30.1,485.3,69.9,2011
110,The Hunger Games,LGF,694.4,408,58.8,286.4,41.2,2012
111,Mission: Impossible - Rogue Nation,Par.,682.7,195,28.6,487.7,71.4,2015
112,Forrest Gump,Par.,677.9,330.3,48.7,347.7,51.3,1994
113,Doctor Strange,BV,677.7,232.6,34.3,445.1,65.7,2016
114,Interstellar,Par.,677.5,188,27.8,489.4,72.2,2014
115,The Sixth Sense,BV,672.8,293.5,43.6,379.3,56.4,1999
116,Man of Steel,WB,668,291,43.6,377,56.4,2013
117,Kung Fu Panda 2,P/DW,665.7,165.2,24.8,500.4,75.2,2011
118,Ice Age: The Meltdown,Fox,660.9,195.3,29.6,465.6,70.4,2006
119,Justice League,WB,657.9,229,34.8,428.9,65.2,2017
120,Big Hero 6,BV,657.8,222.5,33.8,435.3,66.2,2014
121,Pirates of the Caribbean: The Curse of the Black Pearl,BV,654.3,305.4,46.7,348.9,53.3,2003
122,The Hunger Games: Mockingjay - Part 2,LGF,653.4,281.7,43.1,371.7,56.9,2015
123,Star Wars: Episode II - Attack of the Clones,Fox,649.4,310.7,47.8,338.7,52.2,2002
124,Thor: The Dark World,BV,644.6,206.4,32,438.2,68,2013
125,Moana,BV,643.3,248.8,38.7,394.6,61.3,2016
126,Sing,Uni.,634.2,270.4,42.6,363.8,57.4,2016
127,The Incredibles,BV,633,261.4,41.3,371.6,58.7,2004
128,Kung Fu Panda,P/DW,631.7,215.4,34.1,416.3,65.9,2008
129,The Martian,Fox,630.2,228.4,36.2,401.7,63.8,2015
130,Fast Five,Uni.,626.1,209.8,33.5,416.3,66.5,2011
131,Hancock,Sony,624.4,227.9,36.5,396.4,63.5,2008
132,MIB 3,Sony,624,179,28.7,445,71.3,2012
133,Iron Man 2,Par.,623.9,312.4,50.1,311.5,49.9,2010
134,Ant-Man and the Wasp,BV,622.5,216.6,34.8,405.8,65.2,2018
135,How to Train Your Dragon 2,Fox,621.5,177,28.5,444.5,71.5,2014
136,Ratatouille,BV,620.7,206.4,33.3,414.3,66.7,2007
137,Logan (2017),Fox,619,226.3,36.6,392.7,63.4,2017
138,The Lost World: Jurassic Park,Uni.,618.6,229.1,37,389.6,63,1997
139,The Passion of the Christ,NM,611.9,370.8,60.6,241.1,39.4,2004
140,Mamma Mia!,Uni.,609.9,144.2,23.6,465.7,76.4,2008
141,Life of Pi,Fox,609,125,20.5,484,79.5,2012
142,Transformers: The Last Knight,Par.,605.4,130.2,21.5,475.3,78.5,2017
143,Madagascar: Escape 2 Africa,P/DW,603.9,180,29.8,423.9,70.2,2008
144,Casino Royale,Sony,599,167.4,28,431.6,72,2006
145,Tangled,BV,591.8,200.8,33.9,391,66.1,2010
146,War of the Worlds,Par.,591.7,234.3,39.6,357.5,60.4,2005
147,Men in Black,Sony,589.4,250.7,42.5,338.7,57.5,1997
148,The Croods,Fox,587.2,187.2,31.9,400,68.1,2013
149,The Hangover Part II,WB,586.8,254.5,43.4,332.3,56.6,2011
150,Quantum of Solace,Sony,586.1,168.4,28.7,417.7,71.3,2008
151,I Am Legend,WB,585.3,256.4,43.8,329,56.2,2007
152,Iron Man,Par.,585.2,318.4,54.4,266.8,45.6,2008
153,Ready Player One,WB,582.2,137,23.5,445.2,76.5,2018
154,Operation Red Sea,WGUSA,579.2,1.5,0.3,577.7,99.7,2018
155,"Monsters, Inc.",BV,577.4,289.9,50.2,287.5,49.8,2001
156,Night at the Museum,Fox,574.5,250.9,43.7,323.6,56.3,2006
157,Fifty Shades of Grey,Uni.,571,166.2,29.1,404.8,70.9,2015
158,Kong: Skull Island,WB,566.7,168.1,29.7,398.6,70.3,2017
159,The Smurfs,Sony,563.7,142.6,25.3,421.1,74.7,2011
160,Cars 2,BV,562.1,191.5,34.1,370.7,65.9,2011
161,Puss in Boots,P/DW,555,149.3,26.9,405.7,73.1,2011
162,The Mermaid (Mei ren yu),Sony,553.8,3.2,0.6,550.6,99.4,2016
163,Armageddon,BV,553.7,201.6,36.4,352.1,63.6,1998
164,King Kong,Uni.,550.5,218.1,39.6,332.4,60.4,2005
165,Ted,Uni.,549.4,218.8,39.8,330.6,60.2,2012
166,American Sniper,WB,547.4,350.1,64,197.3,36,2014
167,Venom (2018),Sony,547.1,202.7,37,344.4,63,2018
168,Mission: Impossible II,Par.,546.4,215.4,39.4,331,60.6,2e3
169,Sherlock Holmes: A Game of Shadows,WB,545.4,186.8,34.3,358.6,65.7,2011
170,The Day After Tomorrow,Fox,544.3,186.7,34.3,357.5,65.7,2004
171,Detective Chinatown 2,WB,544.1,2,0.4,542.1,99.6,2018
172,X-Men: Apocalypse,Fox,543.9,155.4,28.6,388.5,71.4,2016
173,Cinderella (2015),BV,543.5,201.2,37,342.4,63,2015
174,Despicable Me,Uni.,543.1,251.5,46.3,291.6,53.7,2010
175,Brave,BV,540.4,237.3,43.9,303.2,56.1,2012
176,World War Z,Par.,540,202.4,37.5,337.6,62.5,2013
177,The Empire Strikes Back,Fox,538.4,290.5,54,247.9,46,1980
178,WALL-E,BV,533.3,223.8,42,309.5,58,2008
179,The Revenant,Fox,533,183.6,34.5,349.3,65.5,2015
180,Madagascar,DW,532.7,193.6,36.3,339.1,63.7,2005
181,Godzilla (2014),WB,529.1,200.7,37.9,328.4,62.1,2014
182,The Boss Baby,Fox,528,175,33.1,353,66.9,2017
183,The Meg,WB,527.8,143,27.1,384.8,72.9,2018
184,Dunkirk,WB,527.3,190.1,36,337.2,64,2017
185,The Simpsons Movie,Fox,527.1,183.1,34.7,343.9,65.3,2007
186,Hotel Transylvania 3: Summer Vacation,Sony,525,167.4,31.9,357.6,68.1,2018
187,Sherlock Holmes,WB,524,209,39.9,315,60.1,2009
188,Kung Fu Panda 3,Fox,521.2,143.5,27.5,377.6,72.5,2016
189,Terminator 2: Judgment Day,TriS,520.9,205.9,39.5,315,60.5,1991
190,Ant-Man,BV,519.3,180.2,34.7,339.1,65.3,2015
191,Meet the Fockers,Uni.,516.6,279.3,54.1,237.4,45.9,2004
192,Ghost,Par.,505.7,217.6,43,288.1,57,1990
193,Aladdin,BV,504.1,217.4,43.1,286.7,56.9,1992
194,Rio 2,Fox,500.1,131.5,26.3,368.6,73.7,2014
195,Troy,WB,497.4,133.4,26.8,364,73.2,2004
196,Toy Story 2,BV,497.4,245.9,49.4,251.5,50.6,1999
197,How to Train Your Dragon,P/DW,494.9,217.6,44,277.3,56,2010
198,Twister,WB,494.5,241.7,48.9,252.8,51.1,1996
199,Teenage Mutant Ninja Turtles (2014),Par.,493.3,191.2,38.8,302.1,61.2,2014
200,Oz The Great and Powerful,BV,493.3,234.9,47.6,258.4,52.4,2013
201,Clash of the Titans (2010),WB,493.2,163.2,33.1,330,66.9,2010
202,War for the Planet of the Apes,Fox,490.7,146.9,29.9,343.8,70.1,2017
203,Angels & Demons,Sony,485.9,133.4,27.4,352.6,72.6,2009
204,Rio,Fox,484.6,143.6,29.6,341,70.4,2011
205,Bruce Almighty,Uni.,484.6,242.8,50.1,241.8,49.9,2003
206,Shrek,DW,484.4,267.7,55.3,216.7,44.7,2001
207,Saving Private Ryan,DW,481.8,216.5,44.9,265.3,55.1,1998
208,Rise of the Planet of the Apes,Fox,481.8,176.8,36.7,305,63.3,2011
209,Mr. & Mrs. Smith,Fox,478.2,186.3,39,291.9,61,2005
210,Home Alone,Fox,476.7,285.8,59.9,190.9,40.1,1990
211,Return of the Jedi,Fox,475.1,309.3,65.1,165.8,34.9,1983
212,Charlie and the Chocolate Factory,WB,475,206.5,43.5,268.5,56.5,2005
213,Hotel Transylvania 2,Sony,474.8,169.7,35.7,305.1,64.3,2015
214,Indiana Jones and the Last Crusade,Par.,474.2,197.2,41.6,277,58.4,1989
215,San Andreas,WB (NL),474,155.2,32.7,318.8,67.3,2015
216,Wreck-It Ralph,BV,471.2,189.4,40.2,281.8,59.8,2012
217,Jaws,Uni.,470.7,260,55.2,210.7,44.8,1975
218,The LEGO Movie,WB,469.2,257.8,54.9,211.4,45.1,2014
219,The Hangover,WB,467.5,277.3,59.3,190.2,40.7,2009
220,Star Trek Into Darkness,Par.,467.4,228.8,48.9,238.6,51.1,2013
221,The Matrix,WB,463.5,171.5,37,292,63,1999
222,Pretty Woman,BV,463.4,178.4,38.5,285,61.5,1990
223,Lucy,Uni.,463.4,126.7,27.3,336.7,72.7,2014
224,Cars,BV,462.2,244.1,52.8,218.1,47.2,2006
225,Gladiator,DW,460.6,187.7,40.8,272.9,59.2,2e3
226,X-Men: The Last Stand,Fox,459.4,234.4,51,225,49,2006
227,Mission: Impossible,Par.,457.7,181,39.5,276.7,60.5,1996
228,National Treasure: Book of Secrets,BV,457.4,220,48.1,237.4,51.9,2007
229,The Last Samurai,WB,456.8,111.1,24.3,345.6,75.7,2003
230,300,WB,456.1,210.6,46.2,245.5,53.8,2007
231,Ocean's Eleven,WB,450.7,183.4,40.7,267.3,59.3,2001
232,Thor,Par.,449.3,181,40.3,268.3,59.7,2011
233,Pearl Harbor,BV,449.2,198.5,44.2,250.7,55.8,2001
234,Tarzan,BV,448.2,171.1,38.2,277.1,61.8,1999
235,La La Land,LG/S,446.1,151.1,33.9,295,66.1,2016
236,Alvin and the Chipmunks: The Squeakquel,Fox,443.1,219.6,49.6,223.5,50.4,2009
237,The Bourne Ultimatum,Uni.,442.8,227.5,51.4,215.4,48.6,2007
238,Men in Black II,Sony,441.8,190.4,43.1,251.4,56.9,2002
239,Les Miserables (2012),Uni.,441.8,148.8,33.7,293,66.3,2012
240,The Exorcist,WB,441.3,232.9,52.8,208.4,47.2,1973
241,Mrs. Doubtfire,Fox,441.3,219.2,49.7,222.1,50.3,1993
242,Terminator: Genisys,Par.,440.6,89.8,20.4,350.8,79.6,2015
